id,ear_pointy,nose_size,animal_type
cat.1,8,1,cat
cat.2,7,2,cat
cat.3,6,3,cat
cat.4,9,2,cat
cat.5,9,1,cat
cat.6,10,1,cat
cat.7,9,3,cat
cat.8,10,2,cat
cat.9,10,3,cat
cat.10,6,2,cat
cat.11,6,1,cat
cat.12,8,2,cat
cat.13,8,3,cat
cat.14,7,1,cat
cat.15,6,4,cat
cat.16,7,4,cat
cat.17,8,1,cat
cat.18,6,2,cat
cat.19,9,2,cat
cat.20,9,4,cat
cat.21,10,3,cat
dog.0,1,7,dog
dog.1,1,10,dog
dog.2,1,9,dog
dog.3,4,10,dog
dog.4,1,9,dog
dog.5,4,19,dog
dog.6,2,9,dog
dog.7,4,10,dog
dog.8,1,7,dog
dog.9,4,7,dog
dog.10,1,8,dog
dog.11,1,7,dog
dog.14,3,9,dog
dog.15,2,7,dog
dog.16,1,8,dog
dog.24,1,7,dog
dog.26,4,8,dog
dog.28,2,9,dog
dog.30,1,10,dog
dog.31,3,7,dog
